DOL Vehicle ID,County,City,State,Postal Code,Vehicle Location
100001,India,Mumbai,Maharashtra,832180,"Mumbai, Maharashtra"
100002,India,Mumbai,Maharashtra,291335,"Mumbai, Maharashtra"
100003,India,Mumbai,Maharashtra,299041,"Mumbai, Maharashtra"
100004,India,Mumbai,Maharashtra,586232,"Mumbai, Maharashtra"
100005,India,Mumbai,Maharashtra,552366,"Mumbai, Maharashtra"
100006,India,Mumbai,Maharashtra,431236,"Mumbai, Maharashtra"
100007,India,Mumbai,Maharashtra,339629,"Mumbai, Maharashtra"
100008,India,Mumbai,Maharashtra,778843,"Mumbai, Maharashtra"
100009,India,Mumbai,Maharashtra,824839,"Mumbai, Maharashtra"
100010,India,Mumbai,Maharashtra,538974,"Mumbai, Maharashtra"
100011,India,Mumbai,Maharashtra,635822,"Mumbai, Maharashtra"
100012,India,Mumbai,Maharashtra,567281,"Mumbai, Maharashtra"
100013,India,Mumbai,Maharashtra,937646,"Mumbai, Maharashtra"
100014,India,Mumbai,Maharashtra,803550,"Mumbai, Maharashtra"
100015,India,Mumbai,Maharashtra,234633,"Mumbai, Maharashtra"
100016,India,Mumbai,Maharashtra,938688,"Mumbai, Maharashtra"
100017,India,Mumbai,Maharashtra,124538,"Mumbai, Maharashtra"
100018,India,Mumbai,Maharashtra,723094,"Mumbai, Maharashtra"
100019,India,Mumbai,Maharashtra,353618,"Mumbai, Maharashtra"
100020,India,Mumbai,Maharashtra,205878,"Mumbai, Maharashtra"
100021,India,Mumbai,Maharashtra,979858,"Mumbai, Maharashtra"
100022,India,Mumbai,Maharashtra,981691,"Mumbai, Maharashtra"
100023,India,Mumbai,Maharashtra,668550,"Mumbai, Maharashtra"
100024,India,Mumbai,Maharashtra,679304,"Mumbai, Maharashtra"
100025,India,Mumbai,Maharashtra,637833,"Mumbai, Maharashtra"
100026,India,Mumbai,Maharashtra,547600,"Mumbai, Maharashtra"
100027,India,Mumbai,Maharashtra,516880,"Mumbai, Maharashtra"
100028,India,Mumbai,Maharashtra,494070,"Mumbai, Maharashtra"
100029,India,Mumbai,Maharashtra,225657,"Mumbai, Maharashtra"
100030,India,Mumbai,Maharashtra,792517,"Mumbai, Maharashtra"
100031,India,Mumbai,Maharashtra,518400,"Mumbai, Maharashtra"
100032,India,Mumbai,Maharashtra,418394,"Mumbai, Maharashtra"
100033,India,Mumbai,Maharashtra,314835,"Mumbai, Maharashtra"
100034,India,Mumbai,Maharashtra,710269,"Mumbai, Maharashtra"
100035,India,Mumbai,Maharashtra,757409,"Mumbai, Maharashtra"
100036,India,Mumbai,Maharashtra,480002,"Mumbai, Maharashtra"
100037,India,Mumbai,Maharashtra,522515,"Mumbai, Maharashtra"
100038,India,Mumbai,Maharashtra,757917,"Mumbai, Maharashtra"
100039,India,Mumbai,Maharashtra,102869,"Mumbai, Maharashtra"
100040,India,Mumbai,Maharashtra,977844,"Mumbai, Maharashtra"
100041,India,Mumbai,Maharashtra,381974,"Mumbai, Maharashtra"
100042,India,Mumbai,Maharashtra,250810,"Mumbai, Maharashtra"
100043,India,Mumbai,Maharashtra,145714,"Mumbai, Maharashtra"
100044,India,Mumbai,Maharashtra,182989,"Mumbai, Maharashtra"
100045,India,Mumbai,Maharashtra,231373,"Mumbai, Maharashtra"
100046,India,Mumbai,Maharashtra,368246,"Mumbai, Maharashtra"
100047,India,Mumbai,Maharashtra,465890,"Mumbai, Maharashtra"
100048,India,Mumbai,Maharashtra,635017,"Mumbai, Maharashtra"
100049,India,Mumbai,Maharashtra,467654,"Mumbai, Maharashtra"
100050,India,Mumbai,Maharashtra,580761,"Mumbai, Maharashtra"
100051,India,Mumbai,Maharashtra,712210,"Mumbai, Maharashtra"
100052,India,Mumbai,Maharashtra,193848,"Mumbai, Maharashtra"
100053,India,Mumbai,Maharashtra,170313,"Mumbai, Maharashtra"
100054,India,Mumbai,Maharashtra,351451,"Mumbai, Maharashtra"
100055,India,Mumbai,Maharashtra,562894,"Mumbai, Maharashtra"
100056,India,Mumbai,Maharashtra,322866,"Mumbai, Maharashtra"
100057,India,Mumbai,Maharashtra,108308,"Mumbai, Maharashtra"
100058,India,Mumbai,Maharashtra,277247,"Mumbai, Maharashtra"
100059,India,Mumbai,Maharashtra,546438,"Mumbai, Maharashtra"
100060,India,Mumbai,Maharashtra,167215,"Mumbai, Maharashtra"
100061,India,Mumbai,Maharashtra,965264,"Mumbai, Maharashtra"
100062,India,Mumbai,Maharashtra,790607,"Mumbai, Maharashtra"
