DOL Vehicle ID,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP
100001,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,151,1010268
100002,2018,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,452,3172355
100003,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,493,2725573
100004,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,332,2207371
100005,2018,BYD India,ZS EV,Battery Electric Vehicle (BEV),Eligible,267,1548143
100006,2018,Mahindra Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,399,3270690
100007,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,168,4285659
100008,2018,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,171,3903758
100009,2018,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Eligible,160,3457489
100010,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,389,1171836
100011,2018,MG Motor India,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,349,3947262
100012,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,287,1972876
100013,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,120,2510908
100014,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,215,3645815
100015,2018,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,458,4346532
100016,2018,Ola Electric,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,347,4421441
100017,2018,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,439,2221685
100018,2018,Ather Energy,Atto 3,Battery Electric Vehicle (BEV),Eligible,336,1114020
100019,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,121,2916716
100020,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,301,3732868
100021,2018,Ather Energy,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,406,3859034
100022,2018,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,213,2961083
100023,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,427,4460920
100024,2018,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Eligible,195,1027948
100025,2018,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,244,1128576
100026,2018,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Eligible,312,3115603
100027,2018,Ola Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,465,2431266
100028,2018,Mahindra Electric,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,299,3895765
100029,2018,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Not Eligible,132,1737291
100030,2018,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,480,3808926
100031,2018,MG Motor India,Kona EV,Battery Electric Vehicle (BEV),Eligible,319,3019823
100032,2018,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Eligible,227,4179611
100033,2018,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,431,2933350
100034,2018,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Eligible,513,2756926
