DOL Vehicle ID,Country,City,State,Postal Code
100001,India,Mumbai,Maharashtra,832180
100002,India,Mumbai,Maharashtra,291335
100003,India,Mumbai,Maharashtra,299041
100004,India,Mumbai,Maharashtra,586232
100005,India,Mumbai,Maharashtra,552366
100006,India,Mumbai,Maharashtra,431236
100007,India,Mumbai,Maharashtra,339629
100008,India,Mumbai,Maharashtra,778843
100009,India,Mumbai,Maharashtra,824839
100010,India,Mumbai,Maharashtra,538974
100011,India,Mumbai,Maharashtra,635822
100012,India,Mumbai,Maharashtra,567281
100013,India,Mumbai,Maharashtra,937646
100014,India,Mumbai,Maharashtra,803550
100015,India,Mumbai,Maharashtra,234633
100016,India,Mumbai,Maharashtra,938688
100017,India,Mumbai,Maharashtra,124538
100018,India,Mumbai,Maharashtra,723094
100019,India,Mumbai,Maharashtra,353618
100020,India,Mumbai,Maharashtra,205878
100021,India,Mumbai,Maharashtra,979858
100022,India,Mumbai,Maharashtra,981691
100023,India,Mumbai,Maharashtra,668550
100024,India,Mumbai,Maharashtra,679304
100025,India,Mumbai,Maharashtra,637833
100026,India,Mumbai,Maharashtra,547600
100027,India,Mumbai,Maharashtra,516880
100028,India,Mumbai,Maharashtra,494070
100029,India,Mumbai,Maharashtra,225657
100030,India,Mumbai,Maharashtra,792517
100031,India,Mumbai,Maharashtra,518400
100032,India,Mumbai,Maharashtra,418394
100033,India,Mumbai,Maharashtra,314835
100034,India,Mumbai,Maharashtra,710269
100035,India,Mumbai,Maharashtra,757409
100036,India,Mumbai,Maharashtra,480002
100037,India,Mumbai,Maharashtra,522515
100038,India,Mumbai,Maharashtra,757917
100039,India,Mumbai,Maharashtra,102869
100040,India,Mumbai,Maharashtra,977844
100041,India,Mumbai,Maharashtra,381974
100042,India,Mumbai,Maharashtra,250810
100043,India,Mumbai,Maharashtra,145714
100044,India,Mumbai,Maharashtra,182989
100045,India,Mumbai,Maharashtra,231373
100046,India,Mumbai,Maharashtra,368246
100047,India,Mumbai,Maharashtra,465890
100048,India,Mumbai,Maharashtra,635017
100049,India,Mumbai,Maharashtra,467654
100050,India,Mumbai,Maharashtra,580761
100051,India,Mumbai,Maharashtra,712210
100052,India,Mumbai,Maharashtra,193848
100053,India,Mumbai,Maharashtra,170313
100054,India,Mumbai,Maharashtra,351451
100055,India,Mumbai,Maharashtra,562894
100056,India,Mumbai,Maharashtra,322866
100057,India,Mumbai,Maharashtra,108308
100058,India,Mumbai,Maharashtra,277247
100059,India,Mumbai,Maharashtra,546438
100060,India,Mumbai,Maharashtra,167215
100061,India,Mumbai,Maharashtra,965264
100062,India,Mumbai,Maharashtra,790607
100063,India,Mumbai,Maharashtra,647337
100064,India,Mumbai,Maharashtra,987225
100065,India,Mumbai,Maharashtra,786337
100066,India,Mumbai,Maharashtra,453824
100067,India,Mumbai,Maharashtra,604999
100068,India,Mumbai,Maharashtra,721820
100069,India,Mumbai,Maharashtra,437497
100070,India,Mumbai,Maharashtra,635626
100071,India,Mumbai,Maharashtra,663044
100072,India,Mumbai,Maharashtra,525695
100073,India,Mumbai,Maharashtra,286141
100074,India,Mumbai,Maharashtra,664242
100075,India,Mumbai,Maharashtra,575853
100076,India,Mumbai,Maharashtra,727083
100077,India,Mumbai,Maharashtra,887494
100078,India,Mumbai,Maharashtra,138102
100079,India,Mumbai,Maharashtra,331915
100080,India,Mumbai,Maharashtra,455249
100081,India,Mumbai,Maharashtra,113807
100082,India,Mumbai,Maharashtra,977699
100083,India,Mumbai,Maharashtra,743162
100084,India,Mumbai,Maharashtra,748249
100085,India,Mumbai,Maharashtra,966651
100086,India,Mumbai,Maharashtra,476965
100087,India,Mumbai,Maharashtra,586261
100088,India,Mumbai,Maharashtra,738353
100089,India,Mumbai,Maharashtra,468501
100090,India,Mumbai,Maharashtra,488043
100091,India,Mumbai,Maharashtra,446809
100092,India,Mumbai,Maharashtra,802965
100093,India,Mumbai,Maharashtra,182844
100094,India,Mumbai,Maharashtra,675278
100095,India,Mumbai,Maharashtra,625303
100096,India,Mumbai,Maharashtra,385977
100097,India,Mumbai,Maharashtra,205570
100098,India,Mumbai,Maharashtra,765220
100099,India,Mumbai,Maharashtra,808690
100100,India,Mumbai,Maharashtra,943523
100101,India,Mumbai,Maharashtra,900921
100102,India,Mumbai,Maharashtra,960395
100103,India,Mumbai,Maharashtra,639542
100104,India,Mumbai,Maharashtra,427359
100105,India,Mumbai,Maharashtra,555102
100106,India,Mumbai,Maharashtra,807689
100107,India,Mumbai,Maharashtra,906395
100108,India,Mumbai,Maharashtra,529802
100109,India,Mumbai,Maharashtra,302846
100110,India,Mumbai,Maharashtra,463714
100111,India,Mumbai,Maharashtra,211195
100112,India,Mumbai,Maharashtra,249849
100113,India,Mumbai,Maharashtra,503704
100114,India,Mumbai,Maharashtra,283868
100115,India,Mumbai,Maharashtra,575774
100116,India,Mumbai,Maharashtra,772108
100117,India,Mumbai,Maharashtra,971149
100118,India,Mumbai,Maharashtra,266926
100119,India,Pune,Maharashtra,550009
100120,India,Pune,Maharashtra,567010
100121,India,Pune,Maharashtra,435623
100122,India,Pune,Maharashtra,809913
100123,India,Pune,Maharashtra,814016
100124,India,Pune,Maharashtra,287210
100125,India,Pune,Maharashtra,856254
100126,India,Pune,Maharashtra,222883
100127,India,Pune,Maharashtra,859224
100128,India,Pune,Maharashtra,928533
100129,India,Pune,Maharashtra,204537
100130,India,Pune,Maharashtra,609930
100131,India,Pune,Maharashtra,401953
100132,India,Pune,Maharashtra,872042
100133,India,Pune,Maharashtra,327645
100134,India,Pune,Maharashtra,435842
100135,India,Pune,Maharashtra,158596
100136,India,Pune,Maharashtra,599097
100137,India,Pune,Maharashtra,830406
100138,India,Pune,Maharashtra,502400
100139,India,Pune,Maharashtra,192263
100140,India,Pune,Maharashtra,580703
100141,India,Pune,Maharashtra,675644
100142,India,Pune,Maharashtra,954211
100143,India,Pune,Maharashtra,254782
100144,India,Pune,Maharashtra,164772
100145,India,Pune,Maharashtra,532882
100146,India,Pune,Maharashtra,114153
100147,India,Pune,Maharashtra,233515
100148,India,Pune,Maharashtra,913738
100149,India,Pune,Maharashtra,100126
100150,India,Pune,Maharashtra,275399
100151,India,Pune,Maharashtra,232717
100152,India,Pune,Maharashtra,430388
100153,India,Pune,Maharashtra,113224
100154,India,Pune,Maharashtra,632954
100155,India,Pune,Maharashtra,871253
100156,India,Pune,Maharashtra,194270
100157,India,Pune,Maharashtra,119816
100158,India,Pune,Maharashtra,251878
100159,India,Pune,Maharashtra,193501
100160,India,Pune,Maharashtra,320178
100161,India,Pune,Maharashtra,897917
100162,India,Pune,Maharashtra,178623
100163,India,Pune,Maharashtra,730235
100164,India,Pune,Maharashtra,392822
100165,India,Pune,Maharashtra,139986
100166,India,Pune,Maharashtra,999885
100167,India,Pune,Maharashtra,166358
100168,India,Pune,Maharashtra,267292
100169,India,Pune,Maharashtra,187955
100170,India,Pune,Maharashtra,756639
100171,India,Pune,Maharashtra,356713
100172,India,Pune,Maharashtra,135954
100173,India,Pune,Maharashtra,941461
100174,India,Pune,Maharashtra,488822
100175,India,Pune,Maharashtra,655941
100176,India,Pune,Maharashtra,140809
100177,India,Pune,Maharashtra,851883
100178,India,Pune,Maharashtra,451707
100179,India,Pune,Maharashtra,250322
100180,India,Pune,Maharashtra,976031
100181,India,Pune,Maharashtra,516366
100182,India,Pune,Maharashtra,344883
100183,India,Pune,Maharashtra,166017
100184,India,Pune,Maharashtra,658296
100185,India,Pune,Maharashtra,599883
100186,India,Pune,Maharashtra,431770
100187,India,Pune,Maharashtra,756701
100188,India,Pune,Maharashtra,692245
100189,India,Pune,Maharashtra,452744
100190,India,Pune,Maharashtra,381685
100191,India,Pune,Maharashtra,304615
100192,India,Pune,Maharashtra,137265
100193,India,Pune,Maharashtra,550348
100194,India,Pune,Maharashtra,550062
100195,India,Pune,Maharashtra,354444
100196,India,Pune,Maharashtra,915862
100197,India,Pune,Maharashtra,640659
100198,India,Pune,Maharashtra,709719
100199,India,Pune,Maharashtra,243748
100200,India,Pune,Maharashtra,810979
100201,India,Pune,Maharashtra,311760
100202,India,Pune,Maharashtra,338506
100203,India,Pune,Maharashtra,910694
100204,India,Pune,Maharashtra,426898
100205,India,Pune,Maharashtra,286626
100206,India,Pune,Maharashtra,176898
100207,India,Pune,Maharashtra,474999
100208,India,Pune,Maharashtra,727267
100209,India,Pune,Maharashtra,591036
100210,India,Pune,Maharashtra,551978
100211,India,Pune,Maharashtra,666161
100212,India,Pune,Maharashtra,502732
100213,India,Pune,Maharashtra,433863
100214,India,Pune,Maharashtra,823035
100215,India,Pune,Maharashtra,781652
100216,India,Pune,Maharashtra,174553
100217,India,Pune,Maharashtra,595518
100218,India,Pune,Maharashtra,842623
100219,India,Pune,Maharashtra,268383
100220,India,Pune,Maharashtra,535423
100221,India,Pune,Maharashtra,827955
100222,India,Pune,Maharashtra,697897
100223,India,Pune,Maharashtra,215374
100224,India,Pune,Maharashtra,748074
100225,India,Pune,Maharashtra,332732
100226,India,Nagpur,Maharashtra,248554
100227,India,Nagpur,Maharashtra,537629
100228,India,Nagpur,Maharashtra,808691
100229,India,Nagpur,Maharashtra,346693
100230,India,Nagpur,Maharashtra,126385
100231,India,Nagpur,Maharashtra,501927
100232,India,Nagpur,Maharashtra,338260
100233,India,Nagpur,Maharashtra,618349
100234,India,Nagpur,Maharashtra,877147
100235,India,Nagpur,Maharashtra,709996
100236,India,Nagpur,Maharashtra,817406
100237,India,Nagpur,Maharashtra,392231
100238,India,Nagpur,Maharashtra,793919
100239,India,Nagpur,Maharashtra,122431
100240,India,Nagpur,Maharashtra,999187
100241,India,Nagpur,Maharashtra,751406
100242,India,Nagpur,Maharashtra,315048
100243,India,Nagpur,Maharashtra,506845
100244,India,Nagpur,Maharashtra,829497
100245,India,Nagpur,Maharashtra,734379
100246,India,Nagpur,Maharashtra,128380
100247,India,Nagpur,Maharashtra,889352
100248,India,Nagpur,Maharashtra,679518
100249,India,Nagpur,Maharashtra,541124
100250,India,Nagpur,Maharashtra,442962
100251,India,Nagpur,Maharashtra,389102
100252,India,Nagpur,Maharashtra,186652
100253,India,Nagpur,Maharashtra,620985
100254,India,Nagpur,Maharashtra,913348
100255,India,Nagpur,Maharashtra,825495
100256,India,Nagpur,Maharashtra,847512
100257,India,Nagpur,Maharashtra,161367
100258,India,Nagpur,Maharashtra,302332
100259,India,Nagpur,Maharashtra,471000
100260,India,Nagpur,Maharashtra,377707
100261,India,Nagpur,Maharashtra,249381
100262,India,Nagpur,Maharashtra,886713
100263,India,Nagpur,Maharashtra,764560
100264,India,Nagpur,Maharashtra,345546
100265,India,Nagpur,Maharashtra,106570
