DOL_Vehicle_ID,Country,City,State,Postal_Code,Region,Metro_Flag,High_Adoption_State_Flag
100001,India,Mumbai,Maharashtra,832180,West,1,1
100002,India,Mumbai,Maharashtra,291335,West,1,1
100003,India,Mumbai,Maharashtra,299041,West,1,1
100004,India,Mumbai,Maharashtra,586232,West,1,1
100005,India,Mumbai,Maharashtra,552366,West,1,1
100006,India,Mumbai,Maharashtra,431236,West,1,1
100007,India,Mumbai,Maharashtra,339629,West,1,1
100008,India,Mumbai,Maharashtra,778843,West,1,1
100009,India,Mumbai,Maharashtra,824839,West,1,1
100010,India,Mumbai,Maharashtra,538974,West,1,1
100011,India,Mumbai,Maharashtra,635822,West,1,1
100012,India,Mumbai,Maharashtra,567281,West,1,1
100013,India,Mumbai,Maharashtra,937646,West,1,1
100014,India,Mumbai,Maharashtra,803550,West,1,1
100015,India,Mumbai,Maharashtra,234633,West,1,1
100016,India,Mumbai,Maharashtra,938688,West,1,1
100017,India,Mumbai,Maharashtra,124538,West,1,1
100018,India,Mumbai,Maharashtra,723094,West,1,1
100019,India,Mumbai,Maharashtra,353618,West,1,1
100020,India,Mumbai,Maharashtra,205878,West,1,1
100021,India,Mumbai,Maharashtra,979858,West,1,1
100022,India,Mumbai,Maharashtra,981691,West,1,1
100023,India,Mumbai,Maharashtra,668550,West,1,1
100024,India,Mumbai,Maharashtra,679304,West,1,1
100025,India,Mumbai,Maharashtra,637833,West,1,1
100026,India,Mumbai,Maharashtra,547600,West,1,1
100027,India,Mumbai,Maharashtra,516880,West,1,1
100028,India,Mumbai,Maharashtra,494070,West,1,1
100029,India,Mumbai,Maharashtra,225657,West,1,1
100030,India,Mumbai,Maharashtra,792517,West,1,1
100031,India,Mumbai,Maharashtra,518400,West,1,1
100032,India,Mumbai,Maharashtra,418394,West,1,1
100033,India,Mumbai,Maharashtra,314835,West,1,1
100034,India,Mumbai,Maharashtra,710269,West,1,1
100035,India,Mumbai,Maharashtra,757409,West,1,1
100036,India,Mumbai,Maharashtra,480002,West,1,1
100037,India,Mumbai,Maharashtra,522515,West,1,1
100038,India,Mumbai,Maharashtra,757917,West,1,1
100039,India,Mumbai,Maharashtra,102869,West,1,1
100040,India,Mumbai,Maharashtra,977844,West,1,1
100041,India,Mumbai,Maharashtra,381974,West,1,1
100042,India,Mumbai,Maharashtra,250810,West,1,1
100043,India,Mumbai,Maharashtra,145714,West,1,1
100044,India,Mumbai,Maharashtra,182989,West,1,1
100045,India,Mumbai,Maharashtra,231373,West,1,1
100046,India,Mumbai,Maharashtra,368246,West,1,1
100047,India,Mumbai,Maharashtra,465890,West,1,1
100048,India,Mumbai,Maharashtra,635017,West,1,1
100049,India,Mumbai,Maharashtra,467654,West,1,1
100050,India,Mumbai,Maharashtra,580761,West,1,1
100051,India,Mumbai,Maharashtra,712210,West,1,1
100052,India,Mumbai,Maharashtra,193848,West,1,1
100053,India,Mumbai,Maharashtra,170313,West,1,1
100054,India,Mumbai,Maharashtra,351451,West,1,1
100055,India,Mumbai,Maharashtra,562894,West,1,1
100056,India,Mumbai,Maharashtra,322866,West,1,1
100057,India,Mumbai,Maharashtra,108308,West,1,1
100058,India,Mumbai,Maharashtra,277247,West,1,1
100059,India,Mumbai,Maharashtra,546438,West,1,1
100060,India,Mumbai,Maharashtra,167215,West,1,1
100061,India,Mumbai,Maharashtra,965264,West,1,1
100062,India,Mumbai,Maharashtra,790607,West,1,1
100063,India,Mumbai,Maharashtra,647337,West,1,1
100064,India,Mumbai,Maharashtra,987225,West,1,1
100065,India,Mumbai,Maharashtra,786337,West,1,1
100066,India,Mumbai,Maharashtra,453824,West,1,1
100067,India,Mumbai,Maharashtra,604999,West,1,1
100068,India,Mumbai,Maharashtra,721820,West,1,1
100069,India,Mumbai,Maharashtra,437497,West,1,1
100070,India,Mumbai,Maharashtra,635626,West,1,1
100071,India,Mumbai,Maharashtra,663044,West,1,1
100072,India,Mumbai,Maharashtra,525695,West,1,1
100073,India,Mumbai,Maharashtra,286141,West,1,1
100074,India,Mumbai,Maharashtra,664242,West,1,1
100075,India,Mumbai,Maharashtra,575853,West,1,1
100076,India,Mumbai,Maharashtra,727083,West,1,1
100077,India,Mumbai,Maharashtra,887494,West,1,1
100078,India,Mumbai,Maharashtra,138102,West,1,1
100079,India,Mumbai,Maharashtra,331915,West,1,1
100080,India,Mumbai,Maharashtra,455249,West,1,1
100081,India,Mumbai,Maharashtra,113807,West,1,1
100082,India,Mumbai,Maharashtra,977699,West,1,1
100083,India,Mumbai,Maharashtra,743162,West,1,1
100084,India,Mumbai,Maharashtra,748249,West,1,1
100085,India,Mumbai,Maharashtra,966651,West,1,1
100086,India,Mumbai,Maharashtra,476965,West,1,1
100087,India,Mumbai,Maharashtra,586261,West,1,1
100088,India,Mumbai,Maharashtra,738353,West,1,1
100089,India,Mumbai,Maharashtra,468501,West,1,1
100090,India,Mumbai,Maharashtra,488043,West,1,1
100091,India,Mumbai,Maharashtra,446809,West,1,1
100092,India,Mumbai,Maharashtra,802965,West,1,1
100093,India,Mumbai,Maharashtra,182844,West,1,1
100094,India,Mumbai,Maharashtra,675278,West,1,1
100095,India,Mumbai,Maharashtra,625303,West,1,1
100096,India,Mumbai,Maharashtra,385977,West,1,1
100097,India,Mumbai,Maharashtra,205570,West,1,1
100098,India,Mumbai,Maharashtra,765220,West,1,1
100099,India,Mumbai,Maharashtra,808690,West,1,1
100100,India,Mumbai,Maharashtra,943523,West,1,1
100101,India,Mumbai,Maharashtra,900921,West,1,1
100102,India,Mumbai,Maharashtra,960395,West,1,1
100103,India,Mumbai,Maharashtra,639542,West,1,1
100104,India,Mumbai,Maharashtra,427359,West,1,1
100105,India,Mumbai,Maharashtra,555102,West,1,1
100106,India,Mumbai,Maharashtra,807689,West,1,1
100107,India,Mumbai,Maharashtra,906395,West,1,1
100108,India,Mumbai,Maharashtra,529802,West,1,1
100109,India,Mumbai,Maharashtra,302846,West,1,1
100110,India,Mumbai,Maharashtra,463714,West,1,1
100111,India,Mumbai,Maharashtra,211195,West,1,1
100112,India,Mumbai,Maharashtra,249849,West,1,1
100113,India,Mumbai,Maharashtra,503704,West,1,1
100114,India,Mumbai,Maharashtra,283868,West,1,1
100115,India,Mumbai,Maharashtra,575774,West,1,1
100116,India,Mumbai,Maharashtra,772108,West,1,1
100117,India,Mumbai,Maharashtra,971149,West,1,1
100118,India,Mumbai,Maharashtra,266926,West,1,1
100119,India,Pune,Maharashtra,550009,West,0,1
100120,India,Pune,Maharashtra,567010,West,0,1
100121,India,Pune,Maharashtra,435623,West,0,1
100122,India,Pune,Maharashtra,809913,West,0,1
100123,India,Pune,Maharashtra,814016,West,0,1
100124,India,Pune,Maharashtra,287210,West,0,1
100125,India,Pune,Maharashtra,856254,West,0,1
100126,India,Pune,Maharashtra,222883,West,0,1
100127,India,Pune,Maharashtra,859224,West,0,1
100128,India,Pune,Maharashtra,928533,West,0,1
100129,India,Pune,Maharashtra,204537,West,0,1
100130,India,Pune,Maharashtra,609930,West,0,1
100131,India,Pune,Maharashtra,401953,West,0,1
100132,India,Pune,Maharashtra,872042,West,0,1
100133,India,Pune,Maharashtra,327645,West,0,1
100134,India,Pune,Maharashtra,435842,West,0,1
100135,India,Pune,Maharashtra,158596,West,0,1
100136,India,Pune,Maharashtra,599097,West,0,1
100137,India,Pune,Maharashtra,830406,West,0,1
100138,India,Pune,Maharashtra,502400,West,0,1
100139,India,Pune,Maharashtra,192263,West,0,1
100140,India,Pune,Maharashtra,580703,West,0,1
100141,India,Pune,Maharashtra,675644,West,0,1
100142,India,Pune,Maharashtra,954211,West,0,1
100143,India,Pune,Maharashtra,254782,West,0,1
100144,India,Pune,Maharashtra,164772,West,0,1
100145,India,Pune,Maharashtra,532882,West,0,1
100146,India,Pune,Maharashtra,114153,West,0,1
100147,India,Pune,Maharashtra,233515,West,0,1
100148,India,Pune,Maharashtra,913738,West,0,1
100149,India,Pune,Maharashtra,100126,West,0,1
100150,India,Pune,Maharashtra,275399,West,0,1
100151,India,Pune,Maharashtra,232717,West,0,1
100152,India,Pune,Maharashtra,430388,West,0,1
100153,India,Pune,Maharashtra,113224,West,0,1
100154,India,Pune,Maharashtra,632954,West,0,1
100155,India,Pune,Maharashtra,871253,West,0,1
100156,India,Pune,Maharashtra,194270,West,0,1
100157,India,Pune,Maharashtra,119816,West,0,1
100158,India,Pune,Maharashtra,251878,West,0,1
100159,India,Pune,Maharashtra,193501,West,0,1
100160,India,Pune,Maharashtra,320178,West,0,1
100161,India,Pune,Maharashtra,897917,West,0,1
100162,India,Pune,Maharashtra,178623,West,0,1
100163,India,Pune,Maharashtra,730235,West,0,1
100164,India,Pune,Maharashtra,392822,West,0,1
100165,India,Pune,Maharashtra,139986,West,0,1
100166,India,Pune,Maharashtra,999885,West,0,1
100167,India,Pune,Maharashtra,166358,West,0,1
100168,India,Pune,Maharashtra,267292,West,0,1
100169,India,Pune,Maharashtra,187955,West,0,1
100170,India,Pune,Maharashtra,756639,West,0,1
100171,India,Pune,Maharashtra,356713,West,0,1
100172,India,Pune,Maharashtra,135954,West,0,1
100173,India,Pune,Maharashtra,941461,West,0,1
100174,India,Pune,Maharashtra,488822,West,0,1
100175,India,Pune,Maharashtra,655941,West,0,1
100176,India,Pune,Maharashtra,140809,West,0,1
100177,India,Pune,Maharashtra,851883,West,0,1
100178,India,Pune,Maharashtra,451707,West,0,1
100179,India,Pune,Maharashtra,250322,West,0,1
100180,India,Pune,Maharashtra,976031,West,0,1
100181,India,Pune,Maharashtra,516366,West,0,1
100182,India,Pune,Maharashtra,344883,West,0,1
100183,India,Pune,Maharashtra,166017,West,0,1
100184,India,Pune,Maharashtra,658296,West,0,1
100185,India,Pune,Maharashtra,599883,West,0,1
100186,India,Pune,Maharashtra,431770,West,0,1
100187,India,Pune,Maharashtra,756701,West,0,1
100188,India,Pune,Maharashtra,692245,West,0,1
100189,India,Pune,Maharashtra,452744,West,0,1
100190,India,Pune,Maharashtra,381685,West,0,1
100191,India,Pune,Maharashtra,304615,West,0,1
100192,India,Pune,Maharashtra,137265,West,0,1
100193,India,Pune,Maharashtra,550348,West,0,1
100194,India,Pune,Maharashtra,550062,West,0,1
100195,India,Pune,Maharashtra,354444,West,0,1
100196,India,Pune,Maharashtra,915862,West,0,1
100197,India,Pune,Maharashtra,640659,West,0,1
100198,India,Pune,Maharashtra,709719,West,0,1
100199,India,Pune,Maharashtra,243748,West,0,1
100200,India,Pune,Maharashtra,810979,West,0,1
100201,India,Pune,Maharashtra,311760,West,0,1
100202,India,Pune,Maharashtra,338506,West,0,1
100203,India,Pune,Maharashtra,910694,West,0,1
100204,India,Pune,Maharashtra,426898,West,0,1
100205,India,Pune,Maharashtra,286626,West,0,1
100206,India,Pune,Maharashtra,176898,West,0,1
100207,India,Pune,Maharashtra,474999,West,0,1
100208,India,Pune,Maharashtra,727267,West,0,1
100209,India,Pune,Maharashtra,591036,West,0,1
100210,India,Pune,Maharashtra,551978,West,0,1
100211,India,Pune,Maharashtra,666161,West,0,1
100212,India,Pune,Maharashtra,502732,West,0,1
100213,India,Pune,Maharashtra,433863,West,0,1
100214,India,Pune,Maharashtra,823035,West,0,1
100215,India,Pune,Maharashtra,781652,West,0,1
100216,India,Pune,Maharashtra,174553,West,0,1
