DOL_Vehicle_ID,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility,Electric_Range,Base_MSRP,Vehicle_Age,Range_Category,Price_Category,Price_per_Range,EV_Class,High_Range_Flag,Premium_Flag
100001,2018,Ola Electric,450X,BEV,Eligible,151,1010268,8,Medium,Premium,6690.52,BEV,0,1
100002,2018,BYD India,XUV400,BEV,Eligible,452,3172355,8,High,Premium,7018.48,BEV,1,1
100003,2018,Ather Energy,ZS EV,BEV,Eligible,493,2725573,8,High,Premium,5528.55,BEV,1,1
100004,2018,Tata Motors,S1 Pro,BEV,Eligible,332,2207371,8,High,Premium,6648.71,BEV,1,1
100005,2018,BYD India,ZS EV,BEV,Eligible,267,1548143,8,High,Premium,5798.29,BEV,0,1
100006,2018,Mahindra Electric,S1 Pro,BEV,Eligible,399,3270690,8,High,Premium,8197.22,BEV,1,1
100007,2018,Tata Motors,Atto 3,BEV,Not Eligible,168,4285659,8,Medium,Premium,25509.88,BEV,0,1
100008,2018,MG Motor India,450X,BEV,Eligible,171,3903758,8,Medium,Premium,22828.99,BEV,0,1
100009,2018,TVS Motor,Atto 3,BEV,Eligible,160,3457489,8,Medium,Premium,21609.31,BEV,0,1
100010,2018,Hyundai EV,Kona EV,BEV,Not Eligible,389,1171836,8,High,Premium,3012.43,BEV,1,1
100011,2018,MG Motor India,ZS EV,PHEV,Eligible,349,3947262,8,High,Premium,11310.21,PHEV,1,1
100012,2018,Tata Motors,Kona EV,BEV,Eligible,287,1972876,8,High,Premium,6874.13,BEV,0,1
100013,2018,Tata Motors,S1 Pro,BEV,Eligible,120,2510908,8,Medium,Premium,20924.23,BEV,0,1
100014,2018,BYD India,Nexon EV,BEV,Not Eligible,215,3645815,8,Medium,Premium,16957.28,BEV,0,1
100015,2018,TVS Motor,XUV400,BEV,Eligible,458,4346532,8,High,Premium,9490.24,BEV,1,1
100016,2018,Ola Electric,Atto 3,PHEV,Eligible,347,4421441,8,High,Premium,12741.9,PHEV,1,1
100017,2018,TVS Motor,450X,BEV,Eligible,439,2221685,8,High,Premium,5060.79,BEV,1,1
100018,2018,Ather Energy,Atto 3,BEV,Eligible,336,1114020,8,High,Premium,3315.54,BEV,1,1
100019,2018,Tata Motors,Atto 3,BEV,Eligible,121,2916716,8,Medium,Premium,24105.09,BEV,0,1
100020,2018,Ola Electric,450X,BEV,Eligible,301,3732868,8,High,Premium,12401.55,BEV,1,1
100021,2018,Ather Energy,S1 Pro,PHEV,Eligible,406,3859034,8,High,Premium,9505.01,PHEV,1,1
100022,2018,MG Motor India,450X,BEV,Eligible,213,2961083,8,Medium,Premium,13901.8,BEV,0,1
100023,2018,Hyundai EV,Kona EV,BEV,Not Eligible,427,4460920,8,High,Premium,10447.12,BEV,1,1
100024,2018,Tata Motors,XUV400,BEV,Eligible,195,1027948,8,Medium,Premium,5271.53,BEV,0,1
100025,2018,TVS Motor,XUV400,BEV,Eligible,244,1128576,8,Medium,Premium,4625.31,BEV,0,1
100026,2018,Hyundai EV,iQube,BEV,Eligible,312,3115603,8,High,Premium,9985.91,BEV,1,1
100027,2018,Ola Electric,S1 Pro,BEV,Eligible,465,2431266,8,High,Premium,5228.53,BEV,1,1
100028,2018,Mahindra Electric,Nexon EV,PHEV,Eligible,299,3895765,8,High,Premium,13029.31,PHEV,0,1
100029,2018,Tata Motors,XUV400,BEV,Not Eligible,132,1737291,8,Medium,Premium,13161.3,BEV,0,1
100030,2018,BYD India,XUV400,BEV,Eligible,480,3808926,8,High,Premium,7935.26,BEV,1,1
100031,2018,MG Motor India,Kona EV,BEV,Eligible,319,3019823,8,High,Premium,9466.53,BEV,1,1
100032,2018,Hyundai EV,iQube,BEV,Eligible,227,4179611,8,Medium,Premium,18412.38,BEV,0,1
100033,2018,Mahindra Electric,Atto 3,BEV,Not Eligible,431,2933350,8,High,Premium,6805.92,BEV,1,1
100034,2018,TVS Motor,Nexon EV,BEV,Eligible,513,2756926,8,High,Premium,5374.12,BEV,1,1
100035,2018,TVS Motor,ZS EV,PHEV,Not Eligible,139,1273616,8,Medium,Premium,9162.71,PHEV,0,1
100036,2018,Ola Electric,450X,PHEV,Eligible,88,3266696,8,Low,Premium,37121.55,PHEV,0,1
100037,2018,Ola Electric,iQube,BEV,Eligible,240,2747191,8,Medium,Premium,11446.63,BEV,0,1
100038,2018,Hyundai EV,iQube,BEV,Not Eligible,306,1812495,8,High,Premium,5923.19,BEV,1,1
100039,2018,Ather Energy,ZS EV,BEV,Eligible,417,2026081,8,High,Premium,4858.71,BEV,1,1
100040,2018,Tata Motors,S1 Pro,BEV,Eligible,368,4033837,8,High,Premium,10961.51,BEV,1,1
100041,2018,Tata Motors,iQube,BEV,Eligible,450,3435893,8,High,Premium,7635.32,BEV,1,1
100042,2018,Hyundai EV,Kona EV,BEV,Eligible,517,4444839,8,High,Premium,8597.37,BEV,1,1
100043,2018,Hyundai EV,Nexon EV,BEV,Eligible,396,1629903,8,High,Premium,4115.92,BEV,1,1
100044,2018,TVS Motor,Nexon EV,PHEV,Not Eligible,237,4351356,8,Medium,Premium,18360.15,PHEV,0,1
100045,2018,Ola Electric,Nexon EV,PHEV,Not Eligible,428,2831760,8,High,Premium,6616.26,PHEV,1,1
100046,2018,Ola Electric,Nexon EV,BEV,Eligible,332,2326388,8,High,Premium,7007.19,BEV,1,1
100047,2018,TVS Motor,ZS EV,BEV,Eligible,302,2889173,8,High,Premium,9566.8,BEV,1,1
100048,2018,TVS Motor,Atto 3,PHEV,Not Eligible,206,4127802,8,Medium,Premium,20037.87,PHEV,0,1
100049,2018,TVS Motor,Nexon EV,BEV,Eligible,325,1398863,8,High,Premium,4304.19,BEV,1,1
100050,2018,Mahindra Electric,ZS EV,PHEV,Eligible,92,3217115,8,Low,Premium,34968.64,PHEV,0,1
100051,2018,Ather Energy,S1 Pro,BEV,Eligible,479,2432875,8,High,Premium,5079.07,BEV,1,1
100052,2018,MG Motor India,ZS EV,BEV,Eligible,421,1018834,8,High,Premium,2420.03,BEV,1,1
100053,2018,Ather Energy,Kona EV,BEV,Not Eligible,421,1979600,8,High,Premium,4702.14,BEV,1,1
100054,2018,Mahindra Electric,S1 Pro,BEV,Eligible,343,2885588,8,High,Premium,8412.79,BEV,1,1
100055,2018,BYD India,S1 Pro,BEV,Eligible,451,1849597,8,High,Premium,4101.1,BEV,1,1
100056,2018,TVS Motor,450X,PHEV,Eligible,185,3867197,8,Medium,Premium,20903.77,PHEV,0,1
100057,2018,Ola Electric,ZS EV,BEV,Eligible,308,4077945,8,High,Premium,13240.08,BEV,1,1
100058,2018,Ola Electric,450X,BEV,Eligible,201,1703328,8,Medium,Premium,8474.27,BEV,0,1
100059,2018,TVS Motor,450X,BEV,Eligible,351,1306716,8,High,Premium,3722.84,BEV,1,1
100060,2018,Hyundai EV,450X,BEV,Eligible,155,3509305,8,Medium,Premium,22640.68,BEV,0,1
100061,2018,Tata Motors,450X,BEV,Eligible,148,2648014,8,Medium,Premium,17891.99,BEV,0,1
100062,2018,Ola Electric,450X,BEV,Not Eligible,297,3773817,8,High,Premium,12706.45,BEV,0,1
100063,2018,Tata Motors,Kona EV,BEV,Not Eligible,102,1790617,8,Medium,Premium,17555.07,BEV,0,1
100064,2018,MG Motor India,S1 Pro,BEV,Eligible,329,4418098,8,High,Premium,13428.87,BEV,1,1
100065,2018,Ather Energy,S1 Pro,BEV,Eligible,415,4412054,8,High,Premium,10631.46,BEV,1,1
100066,2018,Ola Electric,iQube,BEV,Eligible,242,3949851,8,Medium,Premium,16321.7,BEV,0,1
100067,2018,Mahindra Electric,450X,BEV,Not Eligible,144,1986880,8,Medium,Premium,13797.78,BEV,0,1
100068,2018,Ather Energy,450X,BEV,Eligible,381,3664673,8,High,Premium,9618.56,BEV,1,1
100069,2018,BYD India,Nexon EV,BEV,Eligible,172,1538873,8,Medium,Premium,8946.94,BEV,0,1
100070,2018,Tata Motors,Atto 3,BEV,Not Eligible,193,1057164,8,Medium,Premium,5477.53,BEV,0,1
100071,2018,Tata Motors,450X,PHEV,Eligible,243,3828009,8,Medium,Premium,15753.12,PHEV,0,1
100072,2018,Tata Motors,XUV400,BEV,Not Eligible,175,1300573,8,Medium,Premium,7431.85,BEV,0,1
100073,2018,BYD India,450X,BEV,Not Eligible,434,3411720,8,High,Premium,7861.11,BEV,1,1
100074,2018,Ola Electric,iQube,BEV,Eligible,476,966234,8,High,Premium,2029.9,BEV,1,1
100075,2018,Ather Energy,Nexon EV,BEV,Eligible,344,4104891,8,High,Premium,11932.82,BEV,1,1
100076,2018,Mahindra Electric,ZS EV,BEV,Eligible,452,1939458,8,High,Premium,4290.84,BEV,1,1
100077,2018,Ather Energy,S1 Pro,PHEV,Eligible,223,3286488,8,Medium,Premium,14737.61,PHEV,0,1
100078,2018,MG Motor India,Atto 3,PHEV,Eligible,201,1433636,8,Medium,Premium,7132.52,PHEV,0,1
100079,2018,MG Motor India,Atto 3,BEV,Not Eligible,153,1113945,8,Medium,Premium,7280.69,BEV,0,1
100080,2018,BYD India,Kona EV,BEV,Not Eligible,249,1618216,8,Medium,Premium,6498.86,BEV,0,1
100081,2018,Ather Energy,450X,BEV,Not Eligible,418,1976871,8,High,Premium,4729.36,BEV,1,1
100082,2018,Ola Electric,Nexon EV,PHEV,Eligible,296,1294540,8,High,Premium,4373.45,PHEV,0,1
100083,2018,BYD India,XUV400,BEV,Eligible,261,926790,8,High,Premium,3550.92,BEV,0,1
100084,2018,BYD India,Kona EV,BEV,Eligible,220,1690141,8,Medium,Premium,7682.46,BEV,0,1
100085,2018,BYD India,Nexon EV,BEV,Not Eligible,466,2450284,8,High,Premium,5258.12,BEV,1,1
100086,2018,Tata Motors,Nexon EV,PHEV,Not Eligible,501,4288532,8,High,Premium,8559.94,PHEV,1,1
100087,2018,TVS Motor,450X,BEV,Not Eligible,228,2755567,8,Medium,Premium,12085.82,BEV,0,1
100088,2018,Ather Energy,S1 Pro,BEV,Eligible,99,1927512,8,Low,Premium,19469.82,BEV,0,1
100089,2018,Hyundai EV,Atto 3,BEV,Eligible,452,3631573,8,High,Premium,8034.45,BEV,1,1
100090,2018,Mahindra Electric,S1 Pro,PHEV,Eligible,351,3542887,8,High,Premium,10093.7,PHEV,1,1
100091,2018,TVS Motor,ZS EV,BEV,Eligible,169,3361319,8,Medium,Premium,19889.46,BEV,0,1
100092,2018,Ola Electric,450X,PHEV,Eligible,271,1397562,8,High,Premium,5157.06,PHEV,0,1
100093,2018,Tata Motors,450X,BEV,Eligible,299,2832015,8,High,Premium,9471.62,BEV,0,1
100094,2018,Ather Energy,Kona EV,PHEV,Not Eligible,335,1363556,8,High,Premium,4070.32,PHEV,1,1
100095,2018,TVS Motor,Kona EV,PHEV,Eligible,444,4214692,8,High,Premium,9492.55,PHEV,1,1
100096,2018,MG Motor India,iQube,PHEV,Eligible,346,2535156,8,High,Premium,7327.04,PHEV,1,1
100097,2018,Mahindra Electric,XUV400,BEV,Eligible,496,3859464,8,High,Premium,7781.18,BEV,1,1
100098,2018,TVS Motor,Atto 3,PHEV,Not Eligible,276,3881726,8,High,Premium,14064.22,PHEV,0,1
100099,2018,BYD India,450X,BEV,Eligible,281,1063273,8,High,Premium,3783.89,BEV,0,1
100100,2018,Tata Motors,Kona EV,BEV,Eligible,252,3931756,8,High,Premium,15602.21,BEV,0,1
100101,2018,TVS Motor,iQube,BEV,Eligible,174,2086887,8,Medium,Premium,11993.6,BEV,0,1
100102,2018,Hyundai EV,XUV400,BEV,Eligible,347,1540053,8,High,Premium,4438.19,BEV,1,1
100103,2018,Mahindra Electric,Nexon EV,BEV,Eligible,334,2885838,8,High,Premium,8640.23,BEV,1,1
100104,2018,Hyundai EV,ZS EV,BEV,Eligible,182,3602757,8,Medium,Premium,19795.37,BEV,0,1
100105,2018,MG Motor India,ZS EV,BEV,Eligible,414,1680722,8,High,Premium,4059.71,BEV,1,1
100106,2018,Hyundai EV,Nexon EV,BEV,Not Eligible,109,970390,8,Medium,Premium,8902.66,BEV,0,1
100107,2018,Ather Energy,S1 Pro,BEV,Eligible,480,2459312,8,High,Premium,5123.57,BEV,1,1
100108,2018,MG Motor India,Kona EV,BEV,Eligible,284,1528861,8,High,Premium,5383.31,BEV,0,1
100109,2018,Mahindra Electric,Atto 3,BEV,Eligible,262,4257519,8,High,Premium,16250.07,BEV,0,1
100110,2018,TVS Motor,S1 Pro,BEV,Eligible,274,2163455,8,High,Premium,7895.82,BEV,0,1
100111,2018,Ather Energy,ZS EV,BEV,Eligible,356,2429297,8,High,Premium,6823.87,BEV,1,1
100112,2018,Ather Energy,Kona EV,BEV,Not Eligible,312,3145131,8,High,Premium,10080.55,BEV,1,1
100113,2018,Hyundai EV,ZS EV,BEV,Eligible,152,3020473,8,Medium,Premium,19871.53,BEV,0,1
100114,2018,BYD India,iQube,PHEV,Eligible,398,2329551,8,High,Premium,5853.14,PHEV,1,1
100115,2018,Tata Motors,iQube,BEV,Not Eligible,332,2467438,8,High,Premium,7432.04,BEV,1,1
100116,2018,MG Motor India,S1 Pro,BEV,Eligible,295,4290849,8,High,Premium,14545.25,BEV,0,1
100117,2018,TVS Motor,XUV400,BEV,Eligible,190,3866422,8,Medium,Premium,20349.59,BEV,0,1
100118,2018,Ather Energy,ZS EV,BEV,Eligible,306,3818258,8,High,Premium,12477.97,BEV,1,1
100119,2018,MG Motor India,Atto 3,BEV,Eligible,310,2348021,8,High,Premium,7574.26,BEV,1,1
100120,2018,Tata Motors,450X,BEV,Eligible,147,3529001,8,Medium,Premium,24006.81,BEV,0,1
100121,2018,BYD India,S1 Pro,BEV,Eligible,113,1437198,8,Medium,Premium,12718.57,BEV,0,1
100122,2018,Mahindra Electric,ZS EV,BEV,Eligible,85,1902163,8,Low,Premium,22378.39,BEV,0,1
100123,2018,TVS Motor,XUV400,PHEV,Eligible,308,1321240,8,High,Premium,4289.74,PHEV,1,1
100124,2018,Hyundai EV,Kona EV,BEV,Eligible,83,1894653,8,Low,Premium,22827.14,BEV,0,1
100125,2018,BYD India,iQube,PHEV,Eligible,326,1318034,8,High,Premium,4043.05,PHEV,1,1
100126,2018,TVS Motor,Atto 3,PHEV,Eligible,299,2632682,8,High,Premium,8804.96,PHEV,0,1
100127,2018,Tata Motors,Kona EV,BEV,Eligible,514,3257821,8,High,Premium,6338.17,BEV,1,1
100128,2018,TVS Motor,ZS EV,BEV,Eligible,379,3134693,8,High,Premium,8270.96,BEV,1,1
100129,2018,Tata Motors,S1 Pro,BEV,Eligible,126,1754016,8,Medium,Premium,13920.76,BEV,0,1
100130,2018,Ather Energy,Kona EV,BEV,Eligible,435,2316012,8,High,Premium,5324.17,BEV,1,1
100131,2018,MG Motor India,iQube,BEV,Eligible,486,1303081,8,High,Premium,2681.24,BEV,1,1
100132,2018,Ola Electric,Nexon EV,BEV,Eligible,408,2885296,8,High,Premium,7071.8,BEV,1,1
100133,2018,BYD India,XUV400,BEV,Eligible,384,1507812,8,High,Premium,3926.59,BEV,1,1
100134,2018,Hyundai EV,450X,BEV,Eligible,216,3343851,8,Medium,Premium,15480.79,BEV,0,1
100135,2018,Ola Electric,iQube,BEV,Eligible,346,2383624,8,High,Premium,6889.09,BEV,1,1
100136,2018,Mahindra Electric,450X,BEV,Not Eligible,418,1579290,8,High,Premium,3778.21,BEV,1,1
100137,2018,Ather Energy,ZS EV,BEV,Eligible,375,4236007,8,High,Premium,11296.02,BEV,1,1
100138,2018,Ather Energy,Kona EV,BEV,Eligible,142,4195374,8,Medium,Premium,29544.89,BEV,0,1
